trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
7315,18:10:00,18:10:00,51_3,3,"",,,,0
7316,18:20:00,18:20:00,51_3,1,"",,,,0
7316,18:55:00,19:05:00,64_6,2,"",,,,0
7316,19:25:00,19:25:00,65_1,3,"",,,,0
7317,19:45:00,19:45:00,65_5,1,"",,,,0
7317,20:40:00,20:40:00,50_2,2,"",,,,0
7318,09:30:00,09:30:00,65_6,1,"",,,,0
7318,09:50:00,10:00:00,64_4,2,"",,,,0
7318,10:55:00,10:55:00,50_2,3,"",,,,0
7319,11:30:00,11:30:00,50_2,1,"",,,,0
7319,12:25:00,12:25:00,64_3,2,"",,,,0
7320,13:00:00,13:00:00,64_3,1,"",,,,0
7320,13:55:00,13:55:00,50_2,2,"",,,,0
7321,14:15:00,14:15:00,50_2,1,"",,,,0
7321,15:10:00,15:10:00,64_3,2,"",,,,0
7322,15:45:00,15:45:00,64_4,1,"",,,,0
7322,16:05:00,16:05:00,65_1,2,"",,,,0
7323,16:20:00,16:20:00,65_3,1,"",,,,0
7323,16:40:00,16:40:00,64_4,2,"",,,,0
7324,17:15:00,17:15:00,64_3,1,"",,,,0
7324,18:10:00,18:10:00,50_2,2,"",,,,0
7325,18:45:00,18:45:00,50_2,1,"",,,,0
7325,19:40:00,19:40:00,65_5,2,"",,,,0
7326,10:00:00,10:00:00,50_2,1,"",,,,0
7326,10:55:00,10:55:00,65_5,2,"",,,,0
7327,11:20:00,11:20:00,65_5,1,"",,,,0
7327,12:15:00,12:15:00,50_2,2,"",,,,0
7328,12:30:00,12:30:00,50_2,1,"",,,,0
7328,13:25:00,13:25:00,65_5,2,"",,,,0
7329,13:45:00,13:45:00,65_5,1,"",,,,0
7329,14:40:00,14:40:00,50_2,2,"",,,,0
7330,15:00:00,15:00:00,50_2,1,"",,,,0
7330,15:55:00,15:55:00,65_5,2,"",,,,0
7331,16:15:00,16:15:00,65_5,1,"",,,,0
7331,17:10:00,17:10:00,50_2,2,"",,,,0
7332,17:30:00,17:30:00,50_2,1,"",,,,0
7332,18:25:00,18:25:00,65_5,2,"",,,,0
7333,18:45:00,18:45:00,65_5,1,"",,,,0
7333,19:40:00,19:40:00,50_2,2,"",,,,0
7334,09:30:00,09:30:00,55_3,1,"",,,,0
7334,10:00:00,10:00:00,60_3,2,"",,,,0
7335,10:15:00,10:15:00,60_3,1,"",,,,0
7335,10:45:00,10:45:00,55_3,2,"",,,,0
7336,11:00:00,11:00:00,55_3,1,"",,,,0
7336,11:30:00,11:30:00,60_3,2,"",,,,0
7337,11:45:00,11:45:00,60_3,1,"",,,,0
7337,12:15:00,12:15:00,55_3,2,"",,,,0
7338,12:30:00,12:30:00,55_3,1,"",,,,0
7338,13:00:00,13:00:00,60_3,2,"",,,,0
7339,13:15:00,13:15:00,60_3,1,"",,,,0
7339,13:45:00,13:45:00,55_3,2,"",,,,0
7340,14:00:00,14:00:00,55_3,1,"",,,,0
7340,14:30:00,14:30:00,60_3,2,"",,,,0
7341,16:15:00,16:15:00,60_3,1,"",,,,0
7341,16:45:00,16:45:00,55_3,2,"",,,,0
7342,13:30:00,13:30:00,55_3,1,"",,,,0
7342,14:00:00,14:00:00,60_3,2,"",,,,0
7343,14:15:00,14:15:00,60_3,1,"",,,,0
7343,14:45:00,14:45:00,55_3,2,"",,,,0
7344,15:00:00,15:00:00,55_3,1,"",,,,0
7344,15:30:00,15:30:00,60_3,2,"",,,,0
7345,15:45:00,15:45:00,60_3,1,"",,,,0
7345,16:15:00,16:15:00,55_3,2,"",,,,0
7346,17:00:00,17:00:00,55_3,1,"",,,,0
7346,17:30:00,17:30:00,60_3,2,"",,,,0
7347,17:45:00,17:45:00,60_3,1,"",,,,0
7347,18:15:00,18:15:00,55_3,2,"",,,,0
7348,10:00:00,10:00:00,55_3,1,"",,,,0
7348,10:30:00,10:30:00,60_3,2,"",,,,0
7349,10:45:00,10:45:00,60_3,1,"",,,,0
7349,11:15:00,11:15:00,55_3,2,"",,,,0
7350,12:00:00,12:00:00,55_3,1,"",,,,0
7350,12:30:00,12:30:00,60_3,2,"",,,,0
7351,12:45:00,12:45:00,60_3,1,"",,,,0
7351,13:15:00,13:15:00,55_3,2,"",,,,0
7352,16:00:00,16:00:00,55_3,1,"",,,,0
7352,16:30:00,16:30:00,60_3,2,"",,,,0
7353,16:45:00,16:45:00,60_3,1,"",,,,0
7353,17:15:00,17:15:00,55_3,2,"",,,,0
7354,18:00:00,18:00:00,55_3,1,"",,,,0
7354,18:30:00,18:30:00,60_3,2,"",,,,0
7355,19:15:00,19:15:00,60_3,1,"",,,,0
7355,19:45:00,19:45:00,55_3,2,"",,,,0
7356,10:10:00,10:10:00,51_3,1,"",,,,0
7356,10:45:00,10:45:00,64_3,2,"",,,,0
7357,11:00:00,11:00:00,64_6,1,"",,,,0
7357,11:35:00,11:35:00,51_3,2,"",,,,0
7358,11:55:00,11:55:00,51_3,1,"",,,,0
7358,12:30:00,12:40:00,64_6,2,"",,,,0
7358,13:00:00,13:00:00,65_1,3,"",,,,0
7359,15:00:00,15:00:00,65_3,1,"",,,,0
7359,15:20:00,15:30:00,64_6,2,"",,,,0
7359,16:05:00,16:05:00,51_3,3,"",,,,0
7360,16:15:00,16:15:00,51_3,1,"",,,,0
7360,16:50:00,16:50:00,64_3,2,"",,,,0
7361,17:35:00,17:35:00,64_6,1,"",,,,0
7361,18:10:00,18:10:00,51_3,2,"",,,,0
7362,09:20:00,09:20:00,52_1,1,"",,,,0
7362,10:00:00,10:10:00,51_3,2,"",,,,0
7362,10:45:00,10:45:00,64_1,3,"",,,,0
7363,17:00:00,17:00:00,64_1,1,"",,,,0
7363,18:00:00,18:00:00,52_1,2,"",,,,0
7364,11:10:00,11:10:00,68_1,1,"",,,,0
7364,11:40:00,11:45:00,67_1,2,"",,,,0
7364,12:25:00,12:25:00,64_1,3,"",,,,0
7365,17:30:00,17:30:00,64_1,1,"",,,,0
7365,18:10:00,18:15:00,67_1,2,"",,,,0
7365,18:45:00,18:45:00,68_1,3,"",,,,0
7366,10:00:00,10:00:00,57_3,1,"",,,,0
7366,10:40:00,10:45:00,58_2,2,"",,,,0
7366,11:25:00,11:30:00,59_1,3,"",,,,0
7366,12:00:00,12:00:00,60_5,4,"",,,,0
7367,15:50:00,15:50:00,60_5,1,"",,,,0
7367,16:20:00,16:25:00,59_1,2,"",,,,0
7367,17:05:00,17:15:00,58_2,3,"",,,,0
7367,17:55:00,17:55:00,57_3,4,"",,,,0
7368,10:30:00,10:30:00,53_2,1,"",,,,0
7368,10:55:00,11:05:00,54_4,2,"",,,,0
7368,12:00:00,12:00:00,60_2,3,"",,,,0
7369,17:15:00,17:15:00,60_2,1,"",,,,0
7369,18:10:00,18:20:00,54_4,2,"",,,,0
7369,18:45:00,18:45:00,53_2,3,"",,,,0
7370,10:10:00,10:10:00,56_1,1,"",,,,0
7370,10:35:00,10:35:00,58_1,2,"",,,,0
7371,10:45:00,10:45:00,58_1,1,"",,,,0
7371,11:10:00,11:10:00,56_1,2,"",,,,0
7372,11:25:00,11:25:00,56_1,1,"",,,,0
7372,11:50:00,11:50:00,58_1,2,"",,,,0
7373,12:00:00,12:00:00,58_1,1,"",,,,0
7373,12:25:00,12:25:00,56_1,2,"",,,,0
7374,15:25:00,15:25:00,56_1,1,"",,,,0
7374,15:50:00,15:50:00,58_1,2,"",,,,0
7375,16:00:00,16:00:00,58_1,1,"",,,,0
7375,16:25:00,16:25:00,56_1,2,"",,,,0
7376,16:40:00,16:40:00,56_1,1,"",,,,0
7376,17:05:00,17:05:00,58_1,2,"",,,,0
7377,17:15:00,17:15:00,58_1,1,"",,,,0
7377,17:40:00,17:40:00,56_1,2,"",,,,0
7378,16:45:00,16:45:00,65_3,1,"",,,,0
7378,17:05:00,17:05:00,64_4,2,"",,,,0
7379,17:15:00,17:15:00,64_4,1,"",,,,0
7379,17:35:00,17:35:00,65_1,2,"",,,,0
7380,12:30:00,12:30:00,60_3,1,"",,,,0
7380,13:30:00,13:30:00,60_3,2,"",,,,0
7381,14:00:00,14:00:00,60_3,1,"",,,,0
7381,15:00:00,15:00:00,60_3,2,"",,,,0
7382,15:30:00,15:30:00,60_3,1,"",,,,0
7382,16:30:00,16:30:00,60_3,2,"",,,,0
7383,10:00:00,10:00:00,68_2,1,"",,,,0
7383,11:00:00,11:00:00,68_2,2,"",,,,0
7384,19:00:00,19:00:00,68_2,1,"",,,,0
7384,20:00:00,20:00:00,68_2,2,"",,,,0
7385,10:00:00,10:00:00,65_7,1,"",,,,0
7385,11:00:00,11:00:00,65_7,2,"",,,,0
7386,11:30:00,11:30:00,65_7,1,"",,,,0
7386,12:30:00,12:30:00,65_7,2,"",,,,0
7387,13:00:00,13:00:00,65_7,1,"",,,,0
7387,14:00:00,14:00:00,65_7,2,"",,,,0
7388,14:30:00,14:30:00,65_7,1,"",,,,0
7388,15:30:00,15:30:00,65_7,2,"",,,,0
7389,16:00:00,16:00:00,65_7,1,"",,,,0
7389,17:00:00,17:00:00,65_7,2,"",,,,0
7390,17:15:00,17:15:00,65_7,1,"",,,,0
7390,18:15:00,18:15:00,65_7,2,"",,,,0
7391,10:45:00,10:45:00,65_7,1,"",,,,0
7391,11:45:00,11:45:00,65_7,2,"",,,,0
7392,12:15:00,12:15:00,65_7,1,"",,,,0
7392,13:15:00,13:15:00,65_7,2,"",,,,0
7393,13:45:00,13:45:00,65_7,1,"",,,,0
7393,14:45:00,14:45:00,65_7,2,"",,,,0
7394,15:15:00,15:15:00,65_7,1,"",,,,0
7394,16:15:00,16:15:00,65_7,2,"",,,,0
7395,18:00:00,18:00:00,65_7,1,"",,,,0
7395,19:00:00,19:00:00,65_7,2,"",,,,0
7396,18:45:00,18:45:00,65_7,1,"",,,,0
7396,19:45:00,19:45:00,65_7,2,"",,,,0
7397,11:00:00,11:00:00,53_1,1,"",,,,0
7397,12:00:00,12:00:00,53_1,2,"",,,,0
7398,12:30:00,12:30:00,53_1,1,"",,,,0
7398,13:30:00,13:30:00,53_1,2,"",,,,0
7399,14:00:00,14:00:00,53_1,1,"",,,,0
7399,15:00:00,15:00:00,53_1,2,"",,,,0
7400,16:00:00,16:00:00,53_1,1,"",,,,0
7400,17:00:00,17:00:00,53_1,2,"",,,,0
7401,17:30:00,17:30:00,53_1,1,"",,,,0
7401,18:30:00,18:30:00,53_1,2,"",,,,0
7402,18:45:00,18:45:00,53_1,1,"",,,,0
7402,19:45:00,19:45:00,53_1,2,"",,,,0
7403,18:00:00,18:00:00,56_1,1,"",,,,0
7403,19:00:00,19:00:00,56_1,2,"",,,,0
7404,18:45:00,18:45:00,55_3,1,"",,,,0
7404,19:45:00,19:45:00,55_3,2,"",,,,0
7405,11:00:00,11:00:00,50_7,1,"",,,,0
7405,12:00:00,12:00:00,50_7,2,"",,,,0
7406,12:30:00,12:30:00,50_7,1,"",,,,0
7406,13:30:00,13:30:00,50_7,2,"",,,,0
7407,14:00:00,14:00:00,50_7,1,"",,,,0
7407,15:00:00,15:00:00,50_7,2,"",,,,0
7408,16:00:00,16:00:00,50_7,1,"",,,,0
7408,17:00:00,17:00:00,50_7,2,"",,,,0
7409,17:30:00,17:30:00,50_7,1,"",,,,0
7409,18:30:00,18:30:00,50_7,2,"",,,,0
7410,18:45:00,18:45:00,50_7,1,"",,,,0
7410,19:45:00,19:45:00,50_7,2,"",,,,0
7411,10:00:00,10:00:00,54_4,1,"",,,,0
7411,10:30:00,10:30:00,61_1,2,"",,,,0
7412,10:45:00,10:45:00,61_1,1,"",,,,0
7412,11:15:00,11:15:00,54_4,2,"",,,,0
7413,11:30:00,11:30:00,54_4,1,"",,,,0
7413,12:00:00,12:00:00,61_1,2,"",,,,0
7414,12:15:00,12:15:00,61_1,1,"",,,,0
7414,12:50:00,12:55:00,53_2,2,"",,,,0
7414,13:20:00,13:20:00,54_4,3,"",,,,0
7415,13:30:00,13:30:00,54_4,1,"",,,,0
7415,14:00:00,14:00:00,61_1,2,"",,,,0
7416,16:15:00,16:15:00,61_1,1,"",,,,0
7416,16:50:00,16:55:00,53_2,2,"",,,,0
7416,17:20:00,17:20:00,54_4,3,"",,,,0
7417,17:30:00,17:30:00,54_4,1,"",,,,0
7417,18:00:00,18:00:00,61_1,2,"",,,,0
7418,18:15:00,18:15:00,61_1,1,"",,,,0
7418,18:45:00,18:45:00,54_4,2,"",,,,0
7419,09:30:00,09:30:00,65_6,1,"",,,,0
7419,09:50:00,10:00:00,64_6,2,"",,,,0
7419,11:00:00,11:00:00,50_2,3,"",,,,0
7420,11:30:00,11:30:00,50_2,1,"",,,,0
7420,12:30:00,12:40:00,65_6,2,"",,,,0
7420,13:00:00,13:00:00,64_6,3,"",,,,0
7421,15:00:00,15:00:00,64_6,1,"",,,,0
7421,15:20:00,15:30:00,65_6,2,"",,,,0
7421,16:30:00,16:30:00,50_2,3,"",,,,0
7422,17:00:00,17:00:00,50_2,1,"",,,,0
7422,18:00:00,18:10:00,64_6,2,"",,,,0
7422,18:30:00,18:30:00,65_6,3,"",,,,0
7423,09:30:00,09:30:00,65_6,1,"",,,,0
7423,09:50:00,10:00:00,64_6,2,"",,,,0
7423,11:00:00,11:00:00,50_2,3,"",,,,0
7424,11:30:00,11:30:00,50_2,1,"",,,,0
7424,12:30:00,12:40:00,65_6,2,"",,,,0
7424,13:00:00,13:00:00,64_6,3,"",,,,0
7425,15:00:00,15:00:00,64_6,1,"",,,,0
7425,15:20:00,15:30:00,65_6,2,"",,,,0
7425,16:30:00,16:30:00,50_2,3,"",,,,0
7426,17:00:00,17:00:00,50_2,1,"",,,,0
7426,18:00:00,18:10:00,64_6,2,"",,,,0
7426,18:30:00,18:30:00,65_6,3,"",,,,0
7427,09:30:00,09:30:00,65_6,1,"",,,,0
7427,09:50:00,10:00:00,64_6,2,"",,,,0
7427,11:00:00,11:00:00,50_2,3,"",,,,0
7428,11:30:00,11:30:00,50_2,1,"",,,,0
7428,12:30:00,12:40:00,65_6,2,"",,,,0
7428,13:00:00,13:00:00,64_6,3,"",,,,0
7429,15:00:00,15:00:00,64_6,1,"",,,,0
7429,15:20:00,15:30:00,65_6,2,"",,,,0
7429,16:30:00,16:30:00,50_2,3,"",,,,0
7430,17:00:00,17:00:00,50_2,1,"",,,,0
7430,18:00:00,18:10:00,64_6,2,"",,,,0
7430,18:30:00,18:30:00,65_6,3,"",,,,0
7431,09:30:00,09:30:00,65_6,1,"",,,,0
7431,09:50:00,10:00:00,64_6,2,"",,,,0
7431,11:00:00,11:00:00,50_2,3,"",,,,0
7432,11:30:00,11:30:00,50_2,1,"",,,,0
7432,12:30:00,12:40:00,65_6,2,"",,,,0
7432,13:00:00,13:00:00,64_6,3,"",,,,0
7433,15:00:00,15:00:00,64_6,1,"",,,,0
7433,15:20:00,15:30:00,65_6,2,"",,,,0
7433,16:30:00,16:30:00,50_2,3,"",,,,0
7434,17:00:00,17:00:00,50_2,1,"",,,,0
7434,18:00:00,18:10:00,64_6,2,"",,,,0
7434,18:30:00,18:30:00,65_6,3,"",,,,0
7435,09:30:00,09:30:00,65_6,1,"",,,,0
7435,09:50:00,10:00:00,64_6,2,"",,,,0
7435,11:00:00,11:00:00,50_2,3,"",,,,0
7436,11:30:00,11:30:00,50_2,1,"",,,,0
7436,12:30:00,12:40:00,65_6,2,"",,,,0
7436,13:00:00,13:00:00,64_6,3,"",,,,0
7437,15:00:00,15:00:00,64_6,1,"",,,,0
7437,15:20:00,15:30:00,65_6,2,"",,,,0
7437,16:30:00,16:30:00,50_2,3,"",,,,0
7438,17:00:00,17:00:00,50_2,1,"",,,,0
7438,18:00:00,18:10:00,64_6,2,"",,,,0
7438,18:30:00,18:30:00,65_6,3,"",,,,0
7439,09:30:00,09:30:00,65_6,1,"",,,,0
7439,09:50:00,10:00:00,64_6,2,"",,,,0
7439,11:00:00,11:00:00,50_2,3,"",,,,0
7440,11:30:00,11:30:00,50_2,1,"",,,,0
7440,12:30:00,12:40:00,65_6,2,"",,,,0
7440,13:00:00,13:00:00,64_6,3,"",,,,0
7441,15:00:00,15:00:00,64_6,1,"",,,,0
7441,15:20:00,15:30:00,65_6,2,"",,,,0
7441,16:30:00,16:30:00,50_2,3,"",,,,0
7442,17:00:00,17:00:00,50_2,1,"",,,,0
7442,18:00:00,18:10:00,64_6,2,"",,,,0
7442,18:30:00,18:30:00,65_6,3,"",,,,0
7443,09:30:00,09:30:00,65_6,1,"",,,,0
7443,09:50:00,10:00:00,64_6,2,"",,,,0
7443,11:00:00,11:00:00,50_2,3,"",,,,0
7444,11:30:00,11:30:00,50_2,1,"",,,,0
7444,12:30:00,12:40:00,65_6,2,"",,,,0
7444,13:00:00,13:00:00,64_6,3,"",,,,0
7445,15:00:00,15:00:00,64_6,1,"",,,,0
7445,15:20:00,15:30:00,65_6,2,"",,,,0
7445,16:30:00,16:30:00,50_2,3,"",,,,0
7446,17:00:00,17:00:00,50_2,1,"",,,,0
7446,18:00:00,18:10:00,64_6,2,"",,,,0
7446,18:30:00,18:30:00,65_6,3,"",,,,0
7447,09:30:00,09:30:00,65_6,1,"",,,,0
7447,09:50:00,10:00:00,64_6,2,"",,,,0
7447,11:00:00,11:00:00,50_2,3,"",,,,0
7448,11:30:00,11:30:00,50_2,1,"",,,,0
7448,12:30:00,12:40:00,65_6,2,"",,,,0
7448,13:00:00,13:00:00,64_6,3,"",,,,0
7449,15:00:00,15:00:00,64_6,1,"",,,,0
7449,15:20:00,15:30:00,65_6,2,"",,,,0
7449,16:30:00,16:30:00,50_2,3,"",,,,0
7450,17:00:00,17:00:00,50_2,1,"",,,,0
7450,18:00:00,18:10:00,64_6,2,"",,,,0
7450,18:30:00,18:30:00,65_6,3,"",,,,0
7451,10:00:00,10:00:00,50_2,1,"",,,,0
7451,11:00:00,11:10:00,65_6,2,"",,,,0
7451,11:30:00,11:30:00,64_6,3,"",,,,0
7452,11:50:00,11:50:00,64_6,1,"",,,,0
7452,12:10:00,12:20:00,65_6,2,"",,,,0
7452,13:20:00,13:20:00,50_2,3,"",,,,0
7453,15:00:00,15:00:00,50_2,1,"",,,,0
7453,16:00:00,16:10:00,65_6,2,"",,,,0
7453,16:30:00,16:30:00,64_6,3,"",,,,0
7454,17:00:00,17:00:00,64_6,1,"",,,,0
7454,17:20:00,17:30:00,65_6,2,"",,,,0
7454,18:30:00,18:30:00,50_2,3,"",,,,0
7455,10:00:00,10:00:00,50_2,1,"",,,,0
7455,11:00:00,11:10:00,65_6,2,"",,,,0
7455,11:30:00,11:30:00,64_6,3,"",,,,0
7456,11:50:00,11:50:00,64_6,1,"",,,,0
7456,12:10:00,12:20:00,65_6,2,"",,,,0
7456,13:20:00,13:20:00,50_2,3,"",,,,0
7457,15:00:00,15:00:00,50_2,1,"",,,,0
7457,16:00:00,16:10:00,65_6,2,"",,,,0
7457,16:30:00,16:30:00,64_6,3,"",,,,0
7458,17:00:00,17:00:00,64_6,1,"",,,,0
7458,17:20:00,17:30:00,65_6,2,"",,,,0
7458,18:30:00,18:30:00,50_2,3,"",,,,0
7459,10:00:00,10:00:00,50_2,1,"",,,,0
7459,11:00:00,11:10:00,65_6,2,"",,,,0
7459,11:30:00,11:30:00,64_6,3,"",,,,0
7460,11:50:00,11:50:00,64_6,1,"",,,,0
7460,12:10:00,12:20:00,65_6,2,"",,,,0
7460,13:20:00,13:20:00,50_2,3,"",,,,0
7461,15:00:00,15:00:00,50_2,1,"",,,,0
7461,16:00:00,16:10:00,65_6,2,"",,,,0
7461,16:30:00,16:30:00,64_6,3,"",,,,0
7462,17:00:00,17:00:00,64_6,1,"",,,,0
7462,17:20:00,17:30:00,65_6,2,"",,,,0
7462,18:30:00,18:30:00,50_2,3,"",,,,0
7463,10:00:00,10:00:00,50_2,1,"",,,,0
7463,11:00:00,11:10:00,65_6,2,"",,,,0
7463,11:30:00,11:30:00,64_6,3,"",,,,0
7464,11:50:00,11:50:00,64_6,1,"",,,,0
7464,12:10:00,12:20:00,65_6,2,"",,,,0
7464,13:20:00,13:20:00,50_2,3,"",,,,0
7465,15:00:00,15:00:00,50_2,1,"",,,,0
7465,16:00:00,16:10:00,65_6,2,"",,,,0
7465,16:30:00,16:30:00,64_6,3,"",,,,0
7466,17:00:00,17:00:00,64_6,1,"",,,,0
7466,17:20:00,17:30:00,65_6,2,"",,,,0
7466,18:30:00,18:30:00,50_2,3,"",,,,0
7467,10:00:00,10:00:00,50_2,1,"",,,,0
7467,11:00:00,11:10:00,65_6,2,"",,,,0
7467,11:30:00,11:30:00,64_6,3,"",,,,0
7468,11:50:00,11:50:00,64_6,1,"",,,,0
7468,12:10:00,12:20:00,65_6,2,"",,,,0
7468,13:20:00,13:20:00,50_2,3,"",,,,0
7469,15:00:00,15:00:00,50_2,1,"",,,,0
7469,16:00:00,16:10:00,65_6,2,"",,,,0
7469,16:30:00,16:30:00,64_6,3,"",,,,0
7470,17:00:00,17:00:00,64_6,1,"",,,,0
7470,17:20:00,17:30:00,65_6,2,"",,,,0
7470,18:30:00,18:30:00,50_2,3,"",,,,0
7471,10:00:00,10:00:00,50_2,1,"",,,,0
7471,11:00:00,11:10:00,65_6,2,"",,,,0
7471,11:30:00,11:30:00,64_6,3,"",,,,0
7472,11:50:00,11:50:00,64_6,1,"",,,,0
7472,12:10:00,12:20:00,65_6,2,"",,,,0
7472,13:20:00,13:20:00,50_2,3,"",,,,0
7473,15:00:00,15:00:00,50_2,1,"",,,,0
7473,16:00:00,16:10:00,65_6,2,"",,,,0
7473,16:30:00,16:30:00,64_6,3,"",,,,0
7474,17:00:00,17:00:00,64_6,1,"",,,,0
7474,17:20:00,17:30:00,65_6,2,"",,,,0
7474,18:30:00,18:30:00,50_2,3,"",,,,0
7475,10:00:00,10:00:00,50_2,1,"",,,,0
7475,11:00:00,11:10:00,65_6,2,"",,,,0
7475,11:30:00,11:30:00,64_6,3,"",,,,0
7476,11:50:00,11:50:00,64_6,1,"",,,,0
7476,12:10:00,12:20:00,65_6,2,"",,,,0
7476,13:20:00,13:20:00,50_2,3,"",,,,0
7477,15:00:00,15:00:00,50_2,1,"",,,,0
7477,16:00:00,16:10:00,65_6,2,"",,,,0
7477,16:30:00,16:30:00,64_6,3,"",,,,0
7478,17:00:00,17:00:00,64_6,1,"",,,,0
7478,17:20:00,17:30:00,65_6,2,"",,,,0
7478,18:30:00,18:30:00,50_2,3,"",,,,0
7479,10:00:00,10:00:00,50_2,1,"",,,,0
7479,11:00:00,11:10:00,65_6,2,"",,,,0
7479,11:30:00,11:30:00,64_6,3,"",,,,0
7480,11:50:00,11:50:00,64_6,1,"",,,,0
7480,12:10:00,12:20:00,65_6,2,"",,,,0
7480,13:20:00,13:20:00,50_2,3,"",,,,0
7481,15:00:00,15:00:00,50_2,1,"",,,,0
7481,16:00:00,16:10:00,65_6,2,"",,,,0
7481,16:30:00,16:30:00,64_6,3,"",,,,0
7482,17:00:00,17:00:00,64_6,1,"",,,,0
7482,17:20:00,17:30:00,65_6,2,"",,,,0
7482,18:30:00,18:30:00,50_2,3,"",,,,0
7483,10:00:00,10:00:00,50_2,1,"",,,,0
7483,11:00:00,11:10:00,65_6,2,"",,,,0
7483,11:30:00,11:30:00,64_6,3,"",,,,0
7484,11:50:00,11:50:00,64_6,1,"",,,,0
7484,12:10:00,12:20:00,65_6,2,"",,,,0
7484,13:20:00,13:20:00,50_2,3,"",,,,0
7485,14:00:00,14:00:00,50_2,1,"",,,,0
7485,15:00:00,15:10:00,65_6,2,"",,,,0
7485,15:30:00,15:30:00,64_6,3,"",,,,0
7486,15:50:00,15:50:00,64_6,1,"",,,,0
7486,16:10:00,16:20:00,65_6,2,"",,,,0
7486,17:20:00,17:20:00,50_2,3,"",,,,0
7487,09:30:00,09:30:00,55_3,1,"",,,,0
7487,10:00:00,10:00:00,60_3,2,"",,,,0
7488,10:15:00,10:15:00,60_3,1,"",,,,0
7488,10:45:00,10:45:00,55_3,2,"",,,,0
7489,11:00:00,11:00:00,55_3,1,"",,,,0
7489,11:30:00,11:30:00,60_3,2,"",,,,0
7490,11:45:00,11:45:00,60_3,1,"",,,,0
7490,12:15:00,12:15:00,55_3,2,"",,,,0
7491,14:00:00,14:00:00,55_3,1,"",,,,0
7491,14:30:00,14:30:00,60_3,2,"",,,,0
7492,16:15:00,16:15:00,60_3,1,"",,,,0
7492,16:45:00,16:45:00,55_3,2,"",,,,0
7493,17:00:00,17:00:00,55_3,1,"",,,,0
7493,17:30:00,17:30:00,60_3,2,"",,,,0
7494,17:45:00,17:45:00,60_3,1,"",,,,0
7494,18:15:00,18:15:00,55_3,2,"",,,,0
7495,09:30:00,09:30:00,55_3,1,"",,,,0
7495,10:00:00,10:00:00,60_3,2,"",,,,0
7496,10:15:00,10:15:00,60_3,1,"",,,,0
7496,10:45:00,10:45:00,55_3,2,"",,,,0
7497,11:00:00,11:00:00,55_3,1,"",,,,0
7497,11:30:00,11:30:00,60_3,2,"",,,,0
7498,11:45:00,11:45:00,60_3,1,"",,,,0
7498,12:15:00,12:15:00,55_3,2,"",,,,0
7499,12:30:00,12:30:00,55_3,1,"",,,,0
7499,13:00:00,13:00:00,60_3,2,"",,,,0
7500,13:15:00,13:15:00,60_3,1,"",,,,0
7500,13:45:00,13:45:00,55_3,2,"",,,,0
7501,14:00:00,14:00:00,55_3,1,"",,,,0
7501,14:30:00,14:30:00,60_3,2,"",,,,0
7502,16:15:00,16:15:00,60_3,1,"",,,,0
7502,16:45:00,16:45:00,55_3,2,"",,,,0
7503,17:00:00,17:00:00,55_3,1,"",,,,0
7503,17:30:00,17:30:00,60_3,2,"",,,,0
7504,17:45:00,17:45:00,60_3,1,"",,,,0
7504,18:15:00,18:15:00,55_3,2,"",,,,0
7505,09:30:00,09:30:00,55_3,1,"",,,,0
7505,10:00:00,10:00:00,60_3,2,"",,,,0
7506,10:15:00,10:15:00,60_3,1,"",,,,0
7506,10:45:00,10:45:00,55_3,2,"",,,,0
7507,11:00:00,11:00:00,55_3,1,"",,,,0
7507,11:30:00,11:30:00,60_3,2,"",,,,0
7508,11:45:00,11:45:00,60_3,1,"",,,,0
7508,12:15:00,12:15:00,55_3,2,"",,,,0
7509,12:30:00,12:30:00,55_3,1,"",,,,0
7509,13:00:00,13:00:00,60_3,2,"",,,,0
7510,13:15:00,13:15:00,60_3,1,"",,,,0
7510,13:45:00,13:45:00,55_3,2,"",,,,0
7511,14:00:00,14:00:00,55_3,1,"",,,,0
7511,14:30:00,14:30:00,60_3,2,"",,,,0
7512,16:15:00,16:15:00,60_3,1,"",,,,0
7512,16:45:00,16:45:00,55_3,2,"",,,,0
7513,17:00:00,17:00:00,55_3,1,"",,,,0
7513,17:30:00,17:30:00,60_3,2,"",,,,0
7514,17:45:00,17:45:00,60_3,1,"",,,,0
7514,18:15:00,18:15:00,55_3,2,"",,,,0
7515,09:30:00,09:30:00,55_3,1,"",,,,0
7515,10:00:00,10:00:00,60_3,2,"",,,,0
7516,10:15:00,10:15:00,60_3,1,"",,,,0
7516,10:45:00,10:45:00,55_3,2,"",,,,0
7517,11:00:00,11:00:00,55_3,1,"",,,,0
7517,11:30:00,11:30:00,60_3,2,"",,,,0
7518,11:45:00,11:45:00,60_3,1,"",,,,0
7518,12:15:00,12:15:00,55_3,2,"",,,,0
7519,12:30:00,12:30:00,55_3,1,"",,,,0
7519,13:00:00,13:00:00,60_3,2,"",,,,0
7520,13:15:00,13:15:00,60_3,1,"",,,,0
7520,13:45:00,13:45:00,55_3,2,"",,,,0
7521,14:00:00,14:00:00,55_3,1,"",,,,0
7521,14:30:00,14:30:00,60_3,2,"",,,,0
7522,16:15:00,16:15:00,60_3,1,"",,,,0
